"","V1","V2","V3","V4","V5"
"1",0.662546784413673,0.0843368896976029,0.0843368896976029,0.0844425464934973,0.0843368896976241
"2",0.0844860869863438,0.0844543428989526,0.0843368896976029,0.662272926967895,0.0844497534492053
"3",0.0843368897149073,0.0843368896976029,0.0843368904038667,0.0846321534851407,0.662357176698482
"4",0.0844668646498803,0.0843368896976029,0.0843368914935774,0.0846323597292197,0.66222699442972
"5",0.662541401076716,0.084336889697603,0.0843934726139826,0.0843913469140957,0.084336889697603
"6",0.0845465286358468,0.0843368896976029,0.0843368896976029,0.0843368896976029,0.662442802271344
"7",0.0845506987401861,0.084336889697603,0.0843368896977659,0.662144868731474,0.0846306531329713
"8",0.084336889697603,0.084336889697603,0.08439430068909,0.662302640473332,0.0846292794423718
"9",0.0843368896977982,0.0843368896976029,0.662573396536151,0.0844159343688705,0.0843368896995769
"10",0.084336889697603,0.662463361145029,0.0843368897398317,0.0843368896982445,0.084525969719292
"11",0.0309156669623446,0.030836758573601,0.261296452854307,0.646040208533352,0.0309109130763959
"12",0.662585407587605,0.0843368897018195,0.0843368898498907,0.0844039231630822,0.0843368896976029
"13",0.00672817896666647,0.00672066008875583,0.00671987335641978,0.0067219664886143,0.973109321099544
"14",0.0534924740331456,0.0534347454264202,0.0534347454264202,0.0534347454264202,0.786203289687594
"15",0.0843368896976029,0.0843368896976029,0.662208087492553,0.0845526795817948,0.0845654535304469
"16",0.0844669020556302,0.0843368896976029,0.0843368896976029,0.0844827806345152,0.662376537914649
"17",0.662652440958957,0.0843368899482341,0.0843368896976029,0.0843368896976029,0.0843368896976029
"18",0.0844144840696802,0.662478291097761,0.0843368896976029,0.0843368896976029,0.0844334454373527
"19",0.0843368896976029,0.0844499410893868,0.0843368896976029,0.0843368896976029,0.662539389817804
"20",0.0535358974169372,0.419736196082491,0.419702744017788,0.053441687993181,0.0535834744896024
"21",0.22569900702214,0.00705526530524834,0.00706490501793419,0.285550578539841,0.474630244114836
"22",0.0843368896976043,0.662228750586532,0.0845381711668892,0.0843368897015034,0.084559298847471
